id,price,picture,city,MLS_Num,address,latitude,longitude,Bed,Bath,CarSpace,createdAt,updatedAt
31,1849000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMg7AR4hwk5eltEiNK38XKDlDJowIb2yzEa1mIY_GZJLrhnzbQxw,Currie Barracks,C4142376,4 VALOUR CI SW,51.018134,-114.133947,3.0,3.1,3.0,,
32,1929000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKDLOG-O0Kk508lHSifOaIYgUfqpwUAbTqi3zcoqjOQToAWt7J,Currie Barracks,C4142379,6 VALOUR CI SW,51.018114,-114.133829,3.0,3.1,3.0,,
33,1879000,http://makcenter.org/wp-content/uploads/2013/10/F5CS9273.jpg,Currie Barracks,C4142381,10 VALOUR CI SW,51.018006,-114.133657,3.0,3.1,3.0,,
34,2498000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTn3KXvCRk_FTqwJRk4AbjtJQugCY_y_zt2oZ1wO5nl0Lz5AOgJ,Currie Barracks,C4142382,8 VICTORIA CROSS BV SW,51.017945,-114.133175,2.0,2.1,2.0,,
35,619900,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTn3KXvCRk_FTqwJRk4AbjtJQugCY_y_zt2oZ1wO5nl0Lz5AOgJ,Upper Mount Royal,C4142784,1460 PREMIER WY SW,51.028234,-114.094353,2.0,2.0,2.0,,
36,299900,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTn3KXvCRk_FTqwJRk4AbjtJQugCY_y_zt2oZ1wO5nl0Lz5AOgJ,Millrise,C4143688,41 MILLROSE PL SW,50.919968,-114.075771,3.0,2.1,3.0,,
37,468000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBYNhfXw5WrG9IC6iSN3GlAUK0YDK5UIC4JTKmHJ2x1cPttFVq,Edgemont,C4143781,83 EDGELAND CR NW,51.128702,-114.158641,4.0,3.0,4.0,,
38,229900,https://images.adsttc.com/media/images/59a4/c624/b22e/389d/3e00/02a3/newsletter/MHA.JR_201708_038.jpg?1503970808,Saddle Ridge,C4144368,513 SADDLECREST BV NE,51.13725,-113.933619,2.0,1.0,2.0,,
39,1250000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQR8GQ5i43IPNQOaDo7Gat6k13SVla7wyAkTQDmP4qb66lkIr67_Q,Hillhurst,C4144434,426 11 ST NW,51.056778,-114.088793,3.0,4.1,3.0,,
40,1350000,https://bossip.files.wordpress.com/2016/08/orlando-scandrick-house-2.png,Hillhurst,C4144436,428 11 ST NW,51.056767,-114.08873,4.0,4.1,4.0,,
41,1250000,https://photos.zillowstatic.com/p_e/ISaxrg4yothxwh0000000000.jpg,Hillhurst,C4144437,430 11 ST NW,51.056771,-114.088776,3.0,4.1,3.0,,
42,319999,https://photos.zillowstatic.com/p_e/ISaxrg4yothxwh0000000000.jpg,Panorama Hills,C4144473,166 PANTEGO LN NW,51.1634,-114.097043,3.0,2.1,3.0,,
43,509888,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTn3KXvCRk_FTqwJRk4AbjtJQugCY_y_zt2oZ1wO5nl0Lz5AOgJ,Kincora,C4145034,111 KINCORA GLEN GR NW,51.16448,-114.135575,3.0,2.1,3.0,,
44,3799000,https://photos.zillowstatic.com/p_e/ISaxrg4yothxwh0000000000.jpg,Britannia,C4145188,4248 BRITANNIA DR SW,51.015748,-114.083115,6.0,6.1,6.0,,
45,983400,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMg7AR4hwk5eltEiNK38XKDlDJowIb2yzEa1mIY_GZJLrhnzbQxw,Rocky Ridge,C4145455,116 Rocky Vale GR NW,51.151563,-114.245464,1.0,1.1,1.0,,
46,774900,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNTjhdq5Yz37ycPhPjOGAKGEjEjE51tp41Y1SkzzFd7kr9SVBsKA,Montgomery,C4145740,4832 19 AV NW,51.075234,-114.1619,4.0,3.1,4.0,,
47,638500,https://images.adsttc.com/media/images/59a4/c624/b22e/389d/3e00/02a3/newsletter/MHA.JR_201708_038.jpg?1503970808,Maple Ridge,C4145879,10727 MAPLECREST RD SE,50.95612,-114.036904,3.0,3.0,3.0,,
48,1999900,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQR8GQ5i43IPNQOaDo7Gat6k13SVla7wyAkTQDmP4qb66lkIr67_Q,Springbank Hill,C4146096,126 SPRING VALLEY WY SW,51.023538,-114.201336,6.0,8.1,6.0,,
49,2095000,https://bossip.files.wordpress.com/2016/08/orlando-scandrick-house-2.png,Elboya,C4146326,348 46 AV SW,51.011949,-114.07048,5.0,4.2,5.0,,
50,565900,https://photos.zillowstatic.com/p_e/ISa95r26pca9880000000000.jpg,Chaparral,C4146757,147 CHAPALINA ME SE,50.878087,-114.043912,3.0,2.1,3.0,,
51,2700000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTn3KXvCRk_FTqwJRk4AbjtJQugCY_y_zt2oZ1wO5nl0Lz5AOgJ,Bayview,C4147253,1836 BAY SHORE RD SW,50.973439,-114.103288,5.0,4.1,5.0,,
